image_index,latitiude,longitude,projection,resolution,metadata,county,window_size,chunk_file
64,42.44041614148744,-83.66489946059345,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
65,42.440370155224414,-83.65749013814548,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
66,42.44032368599563,-83.65008082668247,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
67,42.44027673380214,-83.64267152631918,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
68,42.44022929864508,-83.63526223717037,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
69,42.440181380525516,-83.62785295935076,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
70,42.440132979444535,-83.62044369297509,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
71,42.440084095403314,-83.61303443815808,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
72,42.440034728402956,-83.6056251950145,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
73,42.439984878444584,-83.59821596365906,EPSG:2898,"(2.0, 2.0)","{'driver': 'GTiff', 'dtype': 'uint8', 'nodata': 32.0, 'width': 83394, 'height': 70033, 'count': 3, 'crs': CRS.from_epsg(2898), 'transform': Affine(2.0, 0.0, 13183777.839566931,
       0.0, -2.0, 344504.31594488025)}",Washtenaw,1000,1
